time, gx, gy, gz, ax, ay, az, mx, my, mz
10809120,+4.720,-3.140,-0.210,+0.025,+0.295,+9.995,+24.800,+1.700,-33.800
10809130,+5.000,-2.600,-0.230,+0.044,+0.269,+9.935,+24.800,+1.700,-33.800
10809140,+6.090,-3.000,-0.100,+0.014,+0.289,+9.915,+25.100,+0.900,-33.800
10809150,+6.870,-2.410,-0.280,+0.035,+0.288,+9.945,+24.900,+1.400,-34.000
10809160,+6.770,-2.540,-0.870,+0.014,+0.212,+10.000,+25.300,+0.900,-33.800
10809170,+6.040,-2.660,-0.860,+0.055,+0.202,+10.023,+25.300,+1.600,-33.600
10809180,+5.010,-3.150,-1.020,+0.059,+0.247,+10.003,+24.900,+1.100,-34.100
10809190,+4.070,-2.310,-0.680,+0.059,+0.251,+10.102,+24.800,+0.700,-34.000
10809200,+3.530,-0.220,-0.730,+0.017,+0.336,+10.123,+25.100,+1.100,-33.600
10809210,+3.910,+1.300,-0.380,-0.003,+0.300,+10.104,+24.600,+1.100,-34.100
10809220,+4.550,+2.650,-0.400,+0.017,+0.305,+10.075,+24.600,+1.200,-34.000
10809230,+5.430,+2.640,-0.250,+0.019,+0.311,+10.060,+24.300,+3.100,-37.600
10809240,+6.180,+2.720,-0.130,+0.056,+0.311,+10.134,+24.600,+1.100,-34.100
10809250,+5.710,+0.930,-0.600,+0.063,+0.304,+10.171,+24.800,+0.700,-33.800
10809260,+4.920,-0.650,-0.330,+0.095,+0.321,+10.255,+24.800,+0.700,-34.100
10809270,+4.850,-2.910,-0.570,+0.093,+0.380,+10.274,+24.100,+0.300,-34.100
10809280,+4.580,-4.950,-0.270,+0.087,+0.439,+10.311,+24.500,+0.400,-34.000
10809290,+4.750,-7.220,-0.460,+0.112,+0.448,+10.182,+24.900,+0.900,-34.100
10809300,+5.940,-9.120,-0.270,+0.140,+0.432,+10.106,+25.300,+0.600,-34.000
10809310,+6.530,-11.420,-0.180,+0.132,+0.406,+10.025,+24.800,+0.600,-33.800
10809320,+6.820,-12.170,-0.220,+0.203,+0.326,+10.045,+24.600,+0.300,-34.300
10809330,+7.070,-12.300,-0.360,+0.216,+0.314,+10.010,+23.800,+2.600,-37.800
10809340,+7.950,-12.200,-0.840,+0.220,+0.387,+10.032,+24.000,+0.200,-34.600
10809350,+8.410,-14.250,-0.920,+0.203,+0.370,+10.017,+24.000,+0.200,-34.600
10809360,+8.520,-15.300,-0.830,+0.240,+0.418,+9.995,+24.000,+0.200,-34.800
10809370,+8.220,-15.080,-0.280,+0.281,+0.475,+10.031,+24.500,+0.400,-34.800
10809380,+7.220,-14.300,-0.240,+0.324,+0.480,+10.015,+23.800,-0.100,-34.900
